date_utc,rollup_id,l2_fees_eth,rent_paid_eth,profit_eth,txcount
2022-01-01,optimism,16.619587052666716,4.849817543,,27621
2022-01-02,optimism,18.36587431739781,4.316014659,,22529
2022-01-03,optimism,28.251544508495524,6.777715538,,33299
2022-01-04,optimism,35.6697178902309,11.67455726,,36341
2022-01-05,optimism,54.23458436198227,9.300801068,,45019
2022-01-06,optimism,43.44704801987487,7.806794303,,42068
2022-01-07,optimism,59.18041612611897,14.033147847,,52163
2022-01-08,optimism,29.429438159866365,14.572298123,,40646
2022-01-09,optimism,31.29700874782139,15.259631516,,36465
2022-01-10,optimism,55.19737487468669,12.235977802,,39813
2022-01-11,optimism,33.05208358953473,5.372468827,,30014
2022-01-12,optimism,27.715817834704374,5.190100624,,26339
2022-01-13,optimism,33.17537298944268,5.965526643,,29457
2022-01-14,optimism,28.091915005104653,4.208209436,,24839
2022-01-15,optimism,16.288681713024925,3.688453959,,20012
2022-01-16,optimism,15.575195552911609,3.138666866,,19396
2022-01-17,optimism,19.48067487922987,4.248044128,,23224
2022-01-18,optimism,20.367139762960665,7.254654928,,28921
2022-01-19,optimism,24.312712227124397,6.408167555,,33547
2022-01-20,optimism,27.869751957476343,8.053265621,,30797
2022-01-21,optimism,82.7371157724667,17.348339866,,67562
2022-01-22,optimism,85.05714172457402,26.012221028,,89141
2022-01-23,optimism,38.135558421211776,12.273047825,,50410
2022-01-24,optimism,69.60755030534865,18.451971462,,80160
2022-01-25,optimism,37.80865763426781,11.983341325,,46061
2022-01-26,optimism,45.59786207667435,12.094325255,,47067
2022-01-27,optimism,44.96562007272461,15.735248056,,46379
2022-01-28,optimism,35.561468058417326,10.447659738,,42020
2022-01-29,optimism,20.130391624032068,7.620966379,,29076
2022-01-30,optimism,20.657531139175152,8.586392411,,29586
2022-01-31,optimism,27.50097305086485,10.890821613,,37109
2022-02-01,optimism,31.276247633188422,10.233406159,,32788
2022-02-02,optimism,38.79341600349644,13.653875389,,41996
2022-02-03,optimism,26.406334077657093,9.969874661,,35543
2022-02-04,optimism,23.328163688747523,8.149128007,,34114
2022-02-05,optimism,15.12188275795988,6.882326426,,32101
2022-02-06,optimism,11.892282686182623,5.548853734,,25694
2022-02-07,optimism,24.545208114961905,11.287291849,,32744
2022-02-08,optimism,21.401694692590908,8.23089896,,38488
2022-02-09,optimism,17.98723569049129,8.712373627,,29191
2022-02-10,optimism,22.686818938860768,9.904380737,,36372
2022-02-11,optimism,19.295795038152622,8.298751856,,38310
2022-02-12,optimism,13.488125514679156,6.098452301,,32313
2022-02-13,optimism,9.195673861177266,4.556581977,,25166
2022-02-14,optimism,12.872631574289027,4.198171293,,30609
2022-02-15,optimism,12.640886680360108,4.864030892,,30407
2022-02-16,optimism,15.377808121936193,7.179247043,,29784
2022-02-17,optimism,14.765352287758764,6.867574733,,28544
2022-02-18,optimism,15.795378861443314,8.003590569,,19211
2022-02-19,optimism,7.058618227951185,3.668131523,,14521
2022-02-20,optimism,9.444004528417423,4.600172749,,19820
2022-02-21,optimism,21.76909627898035,9.330670508,,28741
2022-02-22,optimism,17.51248815520119,7.388686112,,27765
2022-02-23,optimism,17.3675513465608,7.362520825,,27674
2022-02-24,optimism,45.36713268142256,17.630807442,,59789
2022-02-25,optimism,17.778646075610194,9.012865252,,39218
2022-02-26,optimism,8.655057565052854,3.934338167,,25848
2022-02-27,optimism,10.685077731745766,3.384876801,,30878
2022-02-28,optimism,20.999393488500807,8.776779769,,39959
2022-03-01,optimism,13.686281455070718,4.401632339,,31465
2022-03-02,optimism,12.880531543663627,5.21406312,,31915
2022-03-03,optimism,9.58935884358663,5.235585067618327234,,25051
2022-03-04,optimism,11.88969959596524,13.920560996802399348,,33063
2022-03-05,optimism,5.810798864224321,8.664782343019617621,,21953
2022-03-06,optimism,8.56693116087338,11.864143902267066916,,26723
2022-03-07,optimism,11.060333645034758,15.22198530100208391,,34715
2022-03-08,optimism,9.799251038898584,12.706978393536687164,,34997
2022-03-09,optimism,9.723202593035705,12.508970647632061343,,36161
2022-03-10,optimism,9.710387209688864,12.747665709678657311,,42217
2022-03-11,optimism,10.32843319468029,10.308206964001228863,,35353
2022-03-12,optimism,3.3032651529489163,5.032895166077976213,,20408
2022-03-13,optimism,4.281489617452579,6.330431536573791754,,21061
2022-03-14,optimism,5.999984123139424,8.715368472631484454,,26639
2022-03-15,optimism,8.119112022909738,11.136999645546789028,,25846
2022-03-16,optimism,14.28122267809446,16.366102091603266709,,43966
2022-03-17,optimism,13.75159519849065,19.039548256075280726,,27773
2022-03-18,optimism,12.40659983688932,16.320913398548835458,,29420
2022-03-19,optimism,7.163535508615734,8.138495261899124346,,31152
2022-03-20,optimism,5.909517173560206,6.640433606830480979,,31300
2022-03-21,optimism,8.00100024247468,8.654541074475411814,,33057
2022-03-22,optimism,11.023961834645627,11.07933483806379072,,34448
2022-03-23,optimism,11.95076287065959,12.389042558061549373,,40011
2022-03-24,optimism,18.03616238429436,18.721585793427878315,,48860
2022-03-25,optimism,15.507422638750652,12.511485060934882573,,40510
2022-03-26,optimism,7.054183337207184,4.558175771317780419,,28358
2022-03-27,optimism,10.79982421197981,9.551382194515396225,,31280
2022-03-28,optimism,27.582159599745328,21.282099021102445524,,51154
2022-03-29,optimism,19.79667804618357,13.419299449403591297,,56890
2022-03-30,optimism,24.00011631653255,16.275898931649830189,,60762
2022-03-31,optimism,24.17356656986819,16.409797160230588102,,57710
2022-04-01,optimism,24.59713132297164,16.981767216401657862,,52641
2022-04-02,optimism,18.60861672309693,11.984659657080895705,,45314
2022-04-03,optimism,14.379428842456418,10.156411343181687135,,38184
2022-04-04,optimism,19.943358003312923,12.972061854733061246,,40877
2022-04-05,optimism,27.165303640114484,13.127656617129984414,,35188
2022-04-06,optimism,25.35064742053112,18.413268900767194583,,70581
2022-04-07,optimism,19.699009462137195,14.991423161999892971,,50110
2022-04-08,optimism,17.184519479462505,14.096075018339207887,,51236
2022-04-09,optimism,7.738530737971599,6.30199151916487707,,36395
2022-04-10,optimism,7.167075612422426,6.117023957953381968,,33481
2022-04-11,optimism,17.09514877608923,13.094349271882362811,,60316
2022-04-12,optimism,13.4406633882979,11.074467846520909914,,46290
2022-04-13,optimism,12.604793667025127,10.014777316312945917,,42786
2022-04-14,optimism,13.360474258191594,10.241302781646269779,,46501
2022-04-15,optimism,10.164838342308826,7.711184383567495004,,42384
2022-04-16,optimism,5.762780031078632,4.587143554776280656,,32562
2022-04-17,optimism,5.712619593920189,4.601698085536646639,,36007
2022-04-18,optimism,10.137681085021809,8.725979821149732826,,43401
2022-04-19,optimism,12.299257839253556,9.259227875557654807,,46961
2022-04-20,optimism,32.750684311200736,24.570905378531537603,,79404
2022-04-21,optimism,25.17277942681527,19.466743124340757394,,68429
2022-04-22,optimism,18.760641761909422,13.481649992155508958,,64034
2022-04-23,optimism,12.073391244562616,8.608344621139842623,,61805
2022-04-24,optimism,11.809085641901367,9.116614153244593751,,60418
2022-04-25,optimism,19.944198428053586,16.001031981712111347,,61348
2022-04-26,optimism,23.559263432729093,16.323609581898604664,,72554
2022-04-27,optimism,24.42845610143428,18.822866288656730833,,90537
2022-04-28,optimism,19.55901201036095,15.617819925941244,,63604
2022-04-29,optimism,20.931778309141404,15.914983994681063449,,68417
2022-04-30,optimism,22.88895839537454,16.138023802189051218,,72657
2022-05-01,optimism,117.69629957259843,28.109025909379209769,,53725
2022-05-02,optimism,24.2213926484348,18.950224340959396115,,57357
2022-05-03,optimism,20.3915839522068,16.535451101689733516,,51786
2022-05-04,optimism,24.14090008796636,14.125917463045497701,,75910
2022-05-05,optimism,30.47629387542237,15.542241278013581453,,79269
2022-05-06,optimism,24.69795007306629,13.479756008824467501,,86342
2022-05-07,optimism,14.523831580250391,7.950935835625376342,,71168
2022-05-08,optimism,14.531198981477722,7.728627402305168881,,85152
2022-05-09,optimism,59.82372767926109,26.98864819394928849,,127502
2022-05-10,optimism,64.9419397400968,26.996229597578915292,,162695
2022-05-11,optimism,209.44873211153265,64.087626417758816342,,214170
2022-05-12,optimism,250.60436649916628,136.665362173888207352,,161107
2022-05-13,optimism,55.626628997114274,28.990357141421484,,110244
2022-05-14,optimism,19.972576602103764,11.026515449215525265,,85030
2022-05-15,optimism,11.452272367193974,6.597000400408313684,,70652
2022-05-16,optimism,12.1027547522635,6.969265422389560001,,75104
2022-05-16,starknet,0.00006421575057002,0.089250467898593012,,7631
2022-05-17,optimism,14.472476255188075,8.511082918798535125,,56764
2022-05-17,starknet,0.000864374067069294,0.440503559759707364,,3487
2022-05-18,optimism,12.53734128062755,7.159542293359366444,,65354
2022-05-18,starknet,0.000252822867717193,0.119375041022632091,,6196
2022-05-19,optimism,12.097278043160268,6.951228029884319887,,68169
2022-05-19,starknet,0,0.518881119866036979,,2786
2022-05-20,optimism,12.071349569099604,7.168271979561283549,,60741
2022-05-20,starknet,0,0.149055700853039009,,3372
2022-05-21,optimism,7.248979269970689,4.370401627274440886,,53416
2022-05-21,starknet,0.000538977124330414,0.296962718196607462,,4363
2022-05-22,optimism,7.67417856746574,4.745660685992718554,,52226
2022-05-22,starknet,0.000585678247792426,0.109344855589904623,,6272
2022-05-23,optimism,11.62589920251674,6.792990603407925635,,66660
2022-05-23,starknet,0,0.593606611556653972,,4758
2022-05-24,optimism,12.854110082704636,7.260564031356165949,,64635
2022-05-24,starknet,0,0.211403488268847252,,5591
2022-05-25,optimism,13.982989301881467,8.096167493048796996,,60369
2022-05-25,starknet,0.000155820671318518,0.653259576701751015,,3375
2022-05-26,optimism,24.826224640703515,13.77880838552785603,,72240
2022-05-26,starknet,0.015607728285891815,0.227592860189126746,,5313
2022-05-27,optimism,23.99792505277376,13.501450463805330976,,87428
2022-05-27,starknet,0.024779795054051135,1.155103966856782231,,4790
2022-05-28,optimism,8.39886479706841,5.064309723066887826,,59222
2022-05-28,starknet,0.019313526948863634,0.132718552102956128,,3203
2022-05-29,optimism,6.723642506949493,4.155077027764935131,,50395
2022-05-29,starknet,0.013265462340656639,0.143325216774792199,,2598
2022-05-30,optimism,15.208124761492858,9.048013036227124352,,65507
2022-05-30,starknet,0.029567566624259124,0.131469780987588229,,5561
2022-05-31,optimism,135.24430657479942,60.451823335848700652,,266891
2022-05-31,starknet,0.037104644275350186,1.020168066876453627,,5511
2022-06-01,optimism,176.43358969075044,99.869367254799353772,,478811
2022-06-01,starknet,0.009958361905463954,0.511918626906027235,,4749
2022-06-02,optimism,98.5392752222996,56.787690971649117564,,243315
2022-06-02,starknet,0.03042700891025323,0.389152489242481567,,6645
2022-06-03,optimism,51.331207383124415,30.901188440426721466,,129439
2022-06-03,starknet,0.052262258827628666,1.070019575886794035,,6317
2022-06-04,optimism,35.44772241813698,21.083880773044982246,,107236
2022-06-04,starknet,0.06211405011153183,0.570600935739760532,,5750
2022-06-05,optimism,30.431351264875563,18.718074188824078664,,87693
2022-06-05,starknet,0.06756920515040624,0.363206310080452088,,6246
2022-06-06,optimism,32.06010142154064,19.450203916044422827,,94832
2022-06-06,starknet,0.037311780684535466,0.288305948435162235,,8187
2022-06-07,optimism,38.08886604267389,21.725110613317250851,,108125
2022-06-07,starknet,0.06777876643956429,0.498242690377893257,,6710
2022-06-08,optimism,48.886104575097725,27.961900991029008951,,106933
2022-06-08,starknet,0.07618928120904263,0.335180205558657811,,4491
2022-06-09,optimism,38.13073979026738,22.987110875174156894,,90115
2022-06-09,starknet,0.030730453599371422,0.100194972953391346,,4008
2022-06-10,optimism,36.0885408321798,20.251494160368054144,,100619
2022-06-10,starknet,0.03200698163795856,0.474189923842923971,,3856
2022-06-11,optimism,29.316913629416185,16.336926960216599314,,116348
2022-06-11,starknet,0.012202281981923684,0.300299396187159523,,5026
2022-06-12,optimism,30.396699766788903,16.841066271917718458,,139692
2022-06-12,starknet,0.01158592192032717,0.244174891679206844,,4789
2022-06-13,optimism,116.97331265468402,62.15563115721533599,,191222
2022-06-13,starknet,0.013069309271632234,1.013710030001463263,,2677
2022-06-14,optimism,61.59901273179251,33.350799174151421089,,151645
